Name,Overall Rank,Nationality,Apparatus,Total Score
Xiao Ruoteng,1,CHN,Floor,14.4
,,,Pommel Horse,14.8
,,,Rings,13.8
,,,Vault,14.9
,,,PBars,14.6
,,,High Bar,14.4
Lin Chaopan,2,CHN,Floor,14.5
,,,Pommel Horse,14.3
,,,Rings,13.7
,,,Vault,14.9
,,,PBars,14.8
,,,High Bar,14.3
Kenzo Shirai,3,JPN,Floor,15.7
,,,Pommel Horse,13.4
,,,Rings,13.7
,,,Vault,15.0
,,,PBars,14.6
,,,High Bar,14.0
David Belyavskiy,4,RUS,Floor,14.1
,,,Pommel Horse,14.9
,,,Rings,14.1
,,,Vault,14.8
,,,PBars,15.3
,,,High Bar,13.2
Manrique Larduet,5,CUB,Floor,13.9
,,,Pommel Horse,13.7
,,,Rings,14.1
,,,Vault,15.0
,,,PBars,14.9
,,,High Bar,14.3
Nile Wilson,6,GBR,Floor,14.3
,,,Pommel Horse,13.7
,,,Rings,14.3
,,,Vault,14.1
,,,PBars,14.5
,,,High Bar,14.4
Yul Moldauer,7,USA,Floor,14.6
,,,Pommel Horse,14.0
,,,Rings,14.1
,,,Vault,14.5
,,,PBars,14.5
,,,High Bar,13.3
Oleg Verniaiev,8,UKR,Floor,13.8
,,,Pommel Horse,13.3
,,,Rings,14.6
,,,Vault,14.8
,,,PBars,15.0
,,,High Bar,12.5
Ahmet Onder,9,TUR,Floor,14.1
,,,Pommel Horse,12.9
,,,Rings,13.8
,,,Vault,14.5
,,,PBars,14.9
,,,High Bar,13.5
Nikita Nagornyy,10,RUS,Floor,14.5
,,,Pommel Horse,13.9
,,,Rings,14.5
,,,Vault,14.8
,,,PBars,14.5
,,,High Bar,11.1
Jo Calvo Moreno,11,COL,Floor,13.9
,,,Pommel Horse,13.8
,,,Rings,13.3
,,,Vault,13.9
,,,PBars,14.6
,,,High Bar,13.6
Pablo Braegger,12,SUI,Floor,14.2
,,,Pommel Horse,13.3
,,,Rings,13.6
,,,Vault,14.4
,,,PBars,12.7
,,,High Bar,14.5
Artur Davtyan,13,ARM,Floor,13.3
,,,Pommel Horse,13.4
,,,Rings,14.2
,,,Vault,14.9
,,,PBars,13.8
,,,High Bar,12.7
Garam Bae,14,KOR,Floor,13.0
,,,Pommel Horse,13.5
,,,Rings,12.9
,,,Vault,14.1
,,,PBars,13.6
,,,High Bar,13.4
Caio Souza,15,BRA,Floor,13.9
,,,Pommel Horse,11.6
,,,Rings,14.2
,,,Vault,14.5
,,,PBars,14.3
,,,High Bar,12.1
Marios Georgiou,16,CYP,Floor,12.5
,,,Pommel Horse,12.3
,,,Rings,13.5
,,,Vault,14.0
,,,PBars,14.1
,,,High Bar,13.8
Robert Tvorogal,17,LTU,Floor,12.9
,,,Pommel Horse,12.9
,,,Rings,13.1
,,,Vault,13.9
,,,PBars,14.1
,,,High Bar,13.3
Philipp Herder,18,GER,Floor,14.1
,,,Pommel Horse,12.8
,,,Rings,13.5
,,,Vault,13.0
,,,PBars,14.1
,,,High Bar,12.6
Eddy Yusof,19,SUI,Floor,13.6
,,,Pommel Horse,11.6
,,,Rings,13.8
,,,Vault,13.4
,,,PBars,14.4
,,,High Bar,13.4
Ferhat Arican,20,TUR,Floor,11.7
,,,Pommel Horse,13.5
,,,Rings,12.9
,,,Vault,14.3
,,,PBars,14.7
,,,High Bar,12.9
Zachary Clay,21,CAN,Floor,13.1
,,,Pommel Horse,13.6
,,,Rings,13.1
,,,Vault,14.1
,,,PBars,13.1
,,,High Bar,12.9
Tomas Kuzmickas,22,LTU,Floor,14.3
,,,Pommel Horse,12.9
,,,Rings,11.7
,,,Vault,13.9
,,,PBars,13.6
,,,High Bar,13.3
Kevin Cerda,23,MEX,Floor,13.3
,,,Pommel Horse,12.3
,,,Rings,12.4
,,,Vault,13.7
,,,PBars,12.4
,,,High Bar,12.8
Joel Plata Rodriguez,24,SP,Floor,13.7
,,,Pommel Horse,10.6
,,,Rings,13.5
,,,Vault,13.6
,,,PBars,13.4
,,,High Bar,11.9
